polymer,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Other,23.55,24.44,25.99,27.07,29.72,30.86,33.09,35.55,37.17,39.97,42.07,43.09,45.85,47.76,50.80,52.24,55.53,58.64,55.87,57.30,62.18,64.68,67.12,69.97,71.20,72.60,73.62,75.80,78.51,80.96
Marine coatings,0.16,0.17,0.18,0.19,0.21,0.21,0.23,0.25,0.26,0.28,0.29,0.30,0.32,0.33,0.35,0.36,0.38,0.40,0.39,0.40,0.43,0.45,0.46,0.48,0.49,0.50,0.50,0.51,0.52,0.54
"LDPE, LLDPE",15.67,16.25,17.28,18.00,19.75,20.51,21.99,23.62,24.69,26.55,27.94,28.61,30.44,31.70,33.71,34.66,36.84,38.89,37.05,37.99,41.20,42.82,44.40,46.26,47.04,48.38,49.34,50.87,52.57,54.30
HDPE,14.37,14.97,15.98,16.71,18.41,19.19,20.66,22.27,23.37,25.22,26.64,27.39,29.24,30.56,32.62,33.66,35.90,38.04,36.36,37.42,40.73,42.49,44.22,46.23,47.18,49.80,50.81,52.32,53.94,55.54
PP,20.80,21.59,22.96,23.92,26.26,27.28,29.26,31.44,32.88,35.38,37.25,38.17,40.63,42.34,45.06,46.36,49.32,52.11,49.68,50.99,55.36,57.61,59.82,62.40,63.53,65.42,66.63,68.52,70.65,72.81
PS,6.35,6.58,6.99,7.27,7.97,8.27,8.85,9.50,9.92,10.65,11.19,11.45,12.17,12.66,13.44,13.81,14.66,15.46,14.71,15.06,16.32,16.95,17.56,18.28,18.57,18.90,19.23,19.82,20.49,21.12
PVC,14.70,15.25,16.22,16.89,18.54,19.25,20.63,22.16,23.16,24.90,26.20,26.83,28.54,29.71,31.59,32.47,34.51,36.42,34.69,35.55,38.57,40.10,41.59,43.33,44.07,45.26,46.09,47.81,49.75,51.39
PET,6.65,6.92,7.38,7.71,8.48,8.83,9.50,10.23,10.73,11.57,12.21,12.54,13.38,13.98,14.91,15.37,16.39,17.35,16.58,17.04,18.54,19.33,20.10,21.00,21.41,22.51,22.99,23.61,24.24,24.92
PUR,5.37,5.57,5.92,6.16,6.75,7.00,7.50,8.05,8.41,9.03,9.50,9.72,10.33,10.75,11.43,11.74,12.47,13.15,12.52,12.83,13.91,14.45,14.98,15.60,15.85,16.13,16.36,16.87,17.49,18.03
Fibres,16.51,17.19,18.34,19.16,21.10,21.97,23.63,25.47,26.71,28.81,30.41,31.24,33.34,34.82,37.15,38.31,40.84,43.25,41.33,42.50,46.35,48.45,50.51,52.91,54.09,55.36,56.30,57.53,58.93,60.45
Road marking coatings,0.20,0.20,0.22,0.22,0.25,0.26,0.27,0.30,0.31,0.33,0.35,0.36,0.38,0.40,0.42,0.43,0.46,0.49,0.46,0.48,0.52,0.54,0.56,0.58,0.59,0.60,0.61,0.63,0.66,0.68
Elastomers (tyres),2.17,2.26,2.41,2.52,2.77,2.88,3.10,3.33,3.49,3.77,3.97,4.08,4.35,4.54,4.84,4.99,5.31,5.62,5.37,5.52,6.01,6.27,6.53,6.83,6.98,7.10,7.16,7.30,7.52,7.73
Bioplastics,0.69,0.72,0.76,0.80,0.87,0.91,0.97,1.04,1.09,1.17,1.23,1.26,1.34,1.39,1.48,1.52,1.62,1.71,1.63,1.67,1.81,1.88,1.95,2.03,2.07,2.10,2.14,2.20,2.26,2.33
"ABS, ASA, SAN",2.68,2.78,2.96,3.08,3.38,3.50,3.75,4.03,4.21,4.52,4.76,4.87,5.18,5.39,5.73,5.89,6.25,6.60,6.28,6.44,6.98,7.25,7.52,7.83,7.96,8.10,8.19,8.40,8.68,8.94
Total,129.89,134.87,143.57,149.69,164.45,170.92,183.44,197.23,206.40,222.15,234.01,239.91,255.48,266.32,283.51,291.79,310.47,328.12,312.91,321.17,348.88,363.27,377.30,393.74,401.03,412.75,419.97,432.18,446.20,459.75
