year,type_of_plastic,value
1990,Total,129.89
1991,Total,134.87
1992,Total,143.57
1993,Total,149.69
1994,Total,164.45
1995,Total,170.92
1996,Total,183.44
1997,Total,197.23
1998,Total,206.40
1999,Total,222.14
2000,Total,234.01
2001,Total,239.91
2002,Total,255.48
2003,Total,266.32
2004,Total,283.51
2005,Total,291.79
2006,Total,310.47
2007,Total,328.12
2008,Total,312.91
2009,Total,321.17
2010,Total,348.88
2011,Total,363.27
2012,Total,377.30
2013,Total,393.74
2014,Total,401.03
2015,Total,412.75
2016,Total,419.97
2017,Total,432.18
2018,Total,446.20
2019,Total,459.75
1990,Primary,127.97
1991,Primary,132.69
1992,Primary,141.04
1993,Primary,146.83
1994,Primary,161.08
1995,Primary,167.17
1996,Primary,179.16
1997,Primary,192.35
1998,Primary,201.00
1999,Primary,216.02
2000,Primary,227.23
2001,Primary,232.63
2002,Primary,247.37
2003,Primary,257.50
2004,Primary,273.73
2005,Primary,281.32
2006,Primary,298.90
2007,Primary,315.45
2008,Primary,300.40
2009,Primary,307.90
2010,Primary,333.99
2011,Primary,347.28
2012,Primary,360.19
2013,Primary,375.36
2014,Primary,381.78
2015,Primary,388.20
2016,Primary,394.62
2017,Primary,405.68
2018,Primary,418.40
2019,Primary,430.64
1990,Secondary,1.91
1991,Secondary,2.18
1992,Secondary,2.53
1993,Secondary,2.85
1994,Secondary,3.37
1995,Secondary,3.74
1996,Secondary,4.28
1997,Secondary,4.88
1998,Secondary,5.40
1999,Secondary,6.12
2000,Secondary,6.78
2001,Secondary,7.28
2002,Secondary,8.11
2003,Secondary,8.82
2004,Secondary,9.78
2005,Secondary,10.47
2006,Secondary,11.56
2007,Secondary,12.67
2008,Secondary,12.51
2009,Secondary,13.27
2010,Secondary,14.89
2011,Secondary,15.99
2012,Secondary,17.11
2013,Secondary,18.38
2014,Secondary,19.25
2015,Secondary,24.55
2016,Secondary,25.35
2017,Secondary,26.51
2018,Secondary,27.80
2019,Secondary,29.10
