Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,GDP per capita (constant 2010 US$),,,,,,,,,,,,,,,"330,303494438021","343,080889731082","333,216617124072","357,234761652514","365,284370559754","405,548889275729","412,014212359158","488,300371326933","543,302967401909","528,736683125618","576,190088453246","587,565035491396","583,656017892664","574,18411426293","571,075388473724","571,445240851978","564,617039478352","573,287505805589","549,391787084908"
Albania,GDP per capita (constant 2010 US$),"1936,2322073095","2070,28951506789","1838,66748471688","1331,80531341432","1243,60582446625","1370,82607057959","1493,78590178292","1703,28184475531","1869,86587314624","1676,12710708271","1835,6466813013","2085,42599716821","2244,62463172571","2453,62441365203","2572,72143217486","2725,17138911963","2887,37034243453","3062,67388299547","3263,90171311883","3485,32240934607","3775,58131429173","3928,45039149695","4094,3503344202","4209,87480089435","4276,60790388367","4327,37995998728","4413,29689127908","4524,3730858712","4681,82656299266","4864,31061630449","5074,85722194352","5207,30532165124","5064,06191586953"
Algeria,GDP per capita (constant 2010 US$),"3577,25254614043","3636,06934597203","3572,28990833696","3443,64880406484","3424,19946292873","3278,63720132237","3182,53652216244","3240,98095897145","3315,22610748916","3297,99016896131","3414,55329551674","3474,26369690259","3557,62853422994","3616,67351982858","3770,81874971673","3991,06869574169","4108,18826778241","4290,52025318732","4299,73595362362","4377,48604155197","4409,80040470062","4403,86120269683","4480,78743864927","4524,70856488229","4588,13355679286","4623,08134166944","4702,15706317617","4777,41479057133","4830,18468856191","4793,93624433221","4755,04624312527","4701,2797425901","4362,73953647076"
Andorra,GDP per capita (constant 2010 US$),"35179,5647476037","35458,1857872512","35410,9672414956","34929,6487968446","33927,4418393701","32425,4519221601","32296,6945603519","32571,9658279066","33820,0896282317","36912,592231089","38197,5850669032","39622,487217128","40379,390206452","42391,1933189131","42607,6651925337","44329,9719487474","46006,4808757658","46878,4285106772","47844,2189794459","47595,9794181389","44318,6071847744","41669,8240601342","40850,2481432297","41191,2935576994","39769,5614582283","39145,6282072012","40914,7285238633","42150,6875086277","44109,0976197301","44433,0521900205","45132,541432445","45959,8482642774","40402,5398367679"
Angola,GDP per capita (constant 2010 US$),"2989,6163157549","2889,88409320685","2697,49100590331","2635,15554951792","2401,23460449963","1767,02601107443","1733,84307360921","1930,79964794741","2122,96801641864","2205,29370359605","2235,39031747907","2211,12966098589","2205,20479980247","2223,33463308956","2444,41764282556","2433,86181902379","2608,78501823161","2896,55443103194","3116,18042005518","3424,37219332146","3668,07955400826","3565,0578864653","3587,88364462837","3579,96005519193","3748,45155037137","3796,88131369242","3843,1987330389","3748,32025213841","3530,31091633315","3409,92790097999","3233,90361075042","3111,15730771384","2890,89289718216"
Antigua and Barbuda,GDP per capita (constant 2010 US$),"10347,411010832","10847,1511933844","11079,8470577846","11172,7133052932","11109,9753863613","11462,1997980597","11968,3946713232","11201,4277755774","11685,2993480512","12061,5318582966","12371,318772056","12580,0113853605","13126,0908749295","12333,5816333732","12287,4765657289","12867,6519748211","13434,2482672981","14108,1753555917","15660,1875506643","16851,2964665462","16579,5550917089","14369,1976817822","13048,9605816199","12618,5032687756","12877,1741532281","12645,518092829","12976,3314609289","13327,4344536349","13918,9818584519","14220,5208454478","15073,532766376","15445,0456766662","12870,1868119838"
Argentina,GDP per capita (constant 2010 US$),"7104,18344407006","6497,42493901544","6245,70915105176","6721,2778327322","7157,32959198843","7644,237492231","7988,645310241","7666,53044449399","7994,24291719649","8543,02637775745","8772,06515552342","8381,25399829498","8224,11081904367","7776,13954096096","6854,29517226167","7380,46747487842","7962,41272288626","8577,8665381501","9174,50292533272","9901,50988510024","10201,4761916191","9502,24405449272","10385,9644319555","10883,315359489","10649,8372874572","10784,6306992057","10398,6940069464","10568,1578087083","10239,4813479933","10419,4554058198","10049,5552391482","9742,45541712886","8692,70804630198"
Armenia,GDP per capita (constant 2010 US$),,,"1795,287777761","1600,12485242473","948,159479902559","885,216196247024","955,591908115927","1042,58314760197","1120,85271509695","1171,06292784956","1266,40909767472","1316,53127040388","1403,02851452461","1547,25147147282","1761,13520724432","2018,36347361408","2243,09269169761","2571,55341211634","2933,59232151007","3364,70918443744","3627,80044541001","3137,34392513665","3218,37829927419","3370,55344683728","3603,5833540796","3705,34588743953","3819,21778720313","3923,70845500094","3917,37834142906","4198,82326547661","4406,75868596295","4732,07430580098","4364,31221201217"
Aruba,GDP per capita (constant 2010 US$),"22136,5542459845","24837,5439985966","25356,5629547813","26328,905711765","26400,0342464356","26666,5179039677","27270,5323011062","26705,1813209964","26084,3270120899","27190,8196784272","27150,9904582637","26953,1935755957","28413,3185989703","26967,7966325902","25508,3027198476","25469,5501282445","27003,6149972914","26980,6945684316","27047,2971737399","27426,4947563631","27364,8512655308","24464,4156064001","23513,527696809","24232,0512333462","23780,097972236","24634,3321496859","24562,7609355826","25822,7463429042","26232,7776632148","26631,4690408183",,,
Australia,GDP per capita (constant 2010 US$),"34460,2797399632","35190,1647293717","35911,3720771917","35315,5059493529","35033,3896674752","36090,3842053156","37133,0413139226","38095,1290061946","39056,1680099049","40153,6147166066","41555,9449080785","43168,2987221633","44334,4163924416","44585,2111928867","45806,7194040019","46595,9234893124","47926,7258598649","48813,9164122463","49443,2322862009","51024,20916188","51841,2609971277","51767,4024588708","52022,1255961876","52567,7619238659","53682,0321439532","54129,9357689465","54679,4164458288","55079,8923433681","55728,6822551091","56058,4659514366","56832,0504820575","57183,3793476238","56307,2806848652"
